概念名称,分类,counts
融资融券,交易,2382
转融券标的,交易,2377
富时罗素股,交易,1265
富时罗素,交易,1183
地方国资改革,改革,1175
标普道琼斯A股,交易,1087
深股通,交易,933
沪股通,交易,594
华为,知名企业,580
MSCI,交易,572
3D玻璃,行业,19
半年报预增,交易,466
军工,军工,454
央企国资改革,改革,430
新股与次新股,交易,418
专精特新,事件,386
3D打印,行业,56
4D打印,行业,7
5G,行业,298
一带一路,事件,299
5G运营商,行业,4
5G主设备,行业,8
比亚迪,知名企业,289
ABF载板,行业,2
AI芯片,行业,13
创投,交易,277
人民币贬值受益,交易,254
ATM机,行业,3
C2M,行业,36
CAD,行业,2
CRO,行业,29
DRG/DIP,行业,14
EDR,行业,17
证金持股,交易,227
智慧城市,事件,217
特斯拉,知名企业,206
ETC,行业,37
工业4.0,事件,200
F5G,行业,22
GEP,行业,3
雄安新区,区域,186
国产软件,事件,186
GPU,行业,6
HJT电池,行业,36
HPV疫苗,行业,8
IGBT,行业,36
宁德时代,知名企业,177
创业板重组松绑,交易,176
注册制次新股,交易,172
乡村振兴,事件,170
IP,行业,39
参股新三板,交易,169
IPV6,行业,29
PPP,事件,169
LNG动力船,行业,10
LNG加气站,行业,18
LNG汽车,行业,6
MCU芯片,行业,33
MDI,行业,2
MERS,行业,5
MicroLED,行业,20
MiniLED,行业,64
新零售,事件,155
MTBE,行业,2
ST板块,交易,146
NFC,行业,13
养老金持股,交易,139
送转填权,交易,138
NFT,行业,42
碳中和,事件,132
参股银行,交易,132
军民融合,军工,130
NMN,行业,23
OGS触控屏,行业,2
医保目录,事件,129
OLED,行业,116
粤港澳大湾区,区域,127
OLED材料,行业,30
国产替代,事件,121
OLED面板,行业,6
小米,知名企业,121
OLED设备制造,行业,8
科创次新股,交易,121
参股券商,交易,120
股权转让,交易,120
新型城镇化,事件,118
OLED显示模组,行业,5
OLED芯片,行业,2
PA66,行业,2
PCB,行业,35
苹果,知名企业,110
PM2.5,行业,33
POCT,行业,5
PTA,行业,10
广东国资改革,区域,109
PVC,行业,24
PVDF,行业,11
独角兽,交易,105
大消费,事件,105
腾讯,知名企业,105
新冠检测,事件,104
阿里巴巴,知名企业,103
REITs,行业,35
SAAS,行业,36
冬奥会,事件,102
SNS,行业,5
健康中国,事件,100
TDI,行业,4
TMT,行业,30
TOF镜头,行业,7
三胎,事件,94
TOPCON电池,行业,18
VPN,行业,26
新基建,事件,92
VR平台,行业,10
长三角一体化,区域,91
VR设备,行业,31
VR影视,行业,3
VR游戏,行业,5
VR直播,行业,4
WiFi 6,行业,23
参股民营银行,交易,87
WIN升级,行业,18
抖音,知名企业,85
阿尔茨海默,行业,10
参股保险,交易,84
央企控股,交易,83
阿糖胞苷,行业,4
新冠治疗,事件,82
癌症定量检测,行业,3
安防,行业,87
氨纶,行业,6
靶材,行业,7
白酒,行业,44
白炭黑,行业,8
白糖,行业,8
白银,行业,19
板蓝根,行业,6
保健品,行业,38
保障房,行业,16
北汽新能源,行业,30
吡啶,行业,7
避孕套,行业,1
蔚来汽车,知名企业,76
边缘计算,行业,96
壳资源,交易,75
航天军工,军工,75
网红经济,事件,75
统一大市场,事件,75
扁线电机,行业,8
便利店,行业,8
殡仪服务,行业,2
核准制次新股,交易,72
冰雪产业,行业,16
丙烷脱氢,行业,3
共同富裕示范区,区域,71
丙烯,行业,9
中俄贸易,区域,71
上海国资改革,区域,70
智慧政务,事件,70
流感,事件,70
丙烯酸,行业,7
数字经济,事件,70
病毒检测芯片,行业,3
玻璃,行业,22
期货,交易,69
玻璃纤维,行业,8
分拆上市意愿,交易,69
铂矿,行业,1
高送转预期,交易,68
菜籽粕,行业,2
菜籽油,行业,3
草地贪夜蛾防治,行业,19
草甘膦,行业,14
超材料,行业,4
超超临界发电,行业,66
超导,行业,8
中字头股票,交易,64
超级稻,行业,8
超级电容,行业,30
杭州亚运会,事件,63
华为汽车,知名企业,63
振兴东北,区域,63
成渝特区,区域,63
超级高铁,行业,6
超级计算机,行业,10
超级品牌,行业,29
民营医院,事件,62
超清视频,行业,90
超硬材料,行业,7
美丽中国,事件,62
俄乌冲突,事件,61
老字号,交易,61
潮汐发电,行业,2
车联网,行业,92
车用尿素,行业,4
充电桩,行业,160
东数西算（算力）,事件,58
国产操作系统,事件,57
京津冀一体化,区域,57
循环经济,事件,57
抽水蓄能,行业,35
除雪,行业,3
储能,行业,239
触摸屏,行业,25
百度,知名企业,56
传感器,行业,63
外贸受益,事件,54
蚂蚁金服,知名企业,54
船舶升级,行业,7
创新药,行业,102
纯碱,行业,6
医疗改革,改革,54
猴痘,事件,54
恒大,知名企业,53
磁悬浮,行业,21
粗苯,行业,6
醋酐,行业,1
摘帽,交易,52
醋酸,行业,5
电力改革,改革,52
债转股(AMC),交易,52
村镇银行,行业,38
存储芯片,行业,11
大豆,行业,8
数字乡村,农村,51
大飞机,行业,76
大容量通信,行业,2
富士康,知名企业,50
大数据,行业,247
代糖,行业,18
单抗,行业,21
浙江国资改革,区域,49
山东国资改革,区域,49
地理信息,行业,15
地热能,行业,17
地下管网,行业,61
地震,行业,10
金改,改革,47
中芯国际,知名企业,47
登革热,行业,16
新疆振兴,区域,47
低辐射玻璃（Low-E）,行业,11
涤纶,行业,17
迪士尼,知名企业,46
第三代半导体,行业,66
电动汽车,行业,11
电机电控,行业,30
电解锰,行业,1
物联网应用层,细分行业,45
电解液,行业,17
电缆,行业,8
横琴新区,区域,45
电力物联网,行业,54
电石,行业,5
江苏国资改革,区域,44
电视游戏,行业,2
电梯,行业,16
电子标签,行业,13
电子车牌,行业,14
电子发票,行业,8
上海自贸区,区域,43
电子竞技,行业,28
西部开发,区域,43
电子皮肤,行业,5
电子商务,行业,278
电子书,行业,10
北京国资改革,区域,42
台湾股,交易,42
稀缺资源,事件,42
电子信息,行业,118
电子政务,行业,25
电子纸,行业,12
参股基金,交易,41
理想汽车,知名企业,41
电阻,行业,4
淀粉,行业,4
调味品,行业,32
冬虫夏草,行业,11
动力电池回收,行业,46
食品安全,事件,40
数字中国,事件,39
动力煤,行业,17
华为鲲鹏,知名企业,39
动漫,行业,32
方舱医院,事件,39
疫情监测,事件,39
动物疫苗,行业,16
多晶硅,行业,27
露营经济,事件,38
多肽药,行业,13
儿童医药医疗,行业,20
二手车,行业,14
农村电商,农村,38
二维码识别,行业,9
番茄酱,行业,4
土地流转,事件,38
钒电池,行业,23
黑龙江自贸区,区域,38
物联网感知层,细分行业,38
防辐射,行业,6
国家大基金持股,交易,37
仿制药,行业,43
仿制药一致性评价,行业,78
飞机租赁,行业,2
氮化镓,行业,36
废气处理,行业,31
分布式发电,行业,41
分布式燃气发电,行业,4
环渤海,区域,36
分离膜,行业,10
分子诊断,行业,11
芬太尼,行业,6
风电,行业,197
风沙治理,行业,8
服务机器人,行业,32
服务外包,行业,2
电子身份证,事件,35
氟化工,行业,24
国六标准、国六排放、国六,事件,34
