股票代码,股票简称,流通市值,最新价,最新涨跌幅,所属同花顺行业,行业概念,事件概念,交易概念
301278.SZ,快可电子,20.48,128.01,267.423,电力设备-电力设备-光伏设备,光伏,,"新股与次新股,融资融券,转融券标的,注册制次新股"
300392.SZ,*ST腾信,10.4,3.52,20.137,传媒-传媒-广告营销,"大数据,广告营销,文化传媒,芯片,TMT",抖音,ST板块
300265.SZ,通光线缆,40.48,11.10,20.000,电力设备-电力设备-线缆部件及其他,"航空航天,柔性直流输电,光纤光缆,电缆,风电,5G,特高压,光纤","军民融合,军工",
300526.SZ,*ST中潜,28.18,13.80,20.000,纺织服装-服装家纺-鞋帽及其他,"体育产业,光伏,潜水运动",,ST板块
688218.SH,江苏北人,36.12,40.46,19.988,机械设备-自动化设备-机器人,"新能源汽车,机器人,人工智能,智能制造",特斯拉,"融资融券,转融券标的,创投"
688286.SH,敏芯股份,20.32,59.40,19.397,电子-半导体及元件-集成电路设计,"消费电子,集成电路,无线耳机,传感器,新型烟草,芯片",中芯国际,"融资融券,转融券标的"
300302.SZ,同有科技,32.69,9.27,16.751,计算机-计算机设备-计算机设备Ⅲ,"存储芯片,云计算,数据安全,大数据,数据存储,电子信息,芯片","国产操作系统,专精特新,军工","富时罗素,融资融券,转融券标的,去IOE"
688206.SH,概伦电子,16.07,42.00,16.667,电子-半导体及元件-半导体设备,,,"新股与次新股,融资融券,转融券标的,科创次新股"
688255.SH,凯尔达,9.34,53.39,16.065,机械设备-自动化设备-机器人,机器人,比亚迪,"新股与次新股,融资融券,转融券标的,科创次新股"
300044.SZ,赛为智能,32.19,4.81,15.904,计算机-计算机应用-IT服务,"人工智能,轨道交通,绿色建筑,机器视觉,在线教育,无人机,数据中心,5G,人脸识别,云计算,智能建筑,区块链,大数据,服务机器人,机器人,猪肉,手机游戏","军工,乡村振兴,华为,腾讯,农村电商,PPP,抖音,智慧城市",摘帽
300554.SZ,三超新材,15.88,24.30,15.714,机械设备-通用设备-磨具磨料,"金刚石（线）,光伏",,创业板重组松绑
300256.SZ,*ST星星,27.39,2.86,14.400,电子-消费电子-消费电子零部件及组装,"WIN升级,黄金,裸眼3D,OLED,虚拟现实,智能穿戴,消费电子,柔性屏,3D玻璃,VR设备,OLED显示模组,两轮车,指纹技术,触摸屏","小米,特斯拉,苹果,地方国资改革,华为",ST板块
301269.SZ,华大九天,77.11,105.00,14.106,计算机-计算机应用-软件开发,"EDA,集成电路",,"新股与次新股,半年报预增,注册制次新股,国家大基金持股,融资融券,转融券标的"
300293.SZ,蓝英装备,34.45,12.29,13.168,机械设备-专用设备-其他专用设备,"人工智能,工业机器人,高端装备,光刻胶,机器人","工业4.0,特斯拉",创业板重组松绑
688090.SH,瑞松科技,22.44,48.50,12.529,机械设备-自动化设备-机器人,"新能源汽车,机器人,机器视觉","蔚来汽车,比亚迪,专精特新","融资融券,转融券标的,半年报预增"
300583.SZ,赛托生物,27.4,26.25,12.516,医药生物-化学制药-原料药,"生物医药,肝炎,辅助生殖",,半年报预增
301030.SZ,仕净科技,26.36,25.21,12.244,环保-环保-环保设备,"危废处理,废气处理,重金属治理,节能环保,脱硫脱硝",,"融资融券,转融券标的"
688517.SH,金冠电气,12.21,15.50,11.833,电力设备-电力设备-输变电设备,"特高压,柔性直流输电",,"融资融券,转融券标的"
688107.SH,安路科技,34.03,76.88,11.744,电子-半导体及元件-集成电路设计,,专精特新,"新股与次新股,国家大基金持股,融资融券,转融券标的,科创次新股"
300056.SZ,中创环保,29.95,7.77,11.638,环保-环保-综合环境治理,"废气处理,新能源汽车,固废处理,污水处理,垃圾分类,PVDF,节能环保,PM2.5,脱硫脱硝,燃料电池","PPP,美丽中国,福建污染减排",
301059.SZ,金三江,6.66,21.88,11.519,美容护理-美容护理-个护用品,气凝胶,,"新股与次新股,融资融券,转融券标的,注册制次新股"
688261.SH,东微半导,42.66,299.41,11.301,电子-半导体及元件-分立器件,"碳化硅,充电桩,IGBT",,"新股与次新股,融资融券,转融券标的,科创次新股"
301041.SZ,金百泽,6.61,24.76,11.231,电子-半导体及元件-印制电路板,"柔性直流输电,人力资源服务,5G,PCB,特高压,职业教育,汽车电子","专精特新,军工","新股与次新股,融资融券,转融券标的,注册制次新股"
300301.SZ,*ST长方,15.72,1.99,11.173,电子-光学光电子-LED,"元器件,节能照明,储能",PPP,ST板块
300650.SZ,太龙股份,20.59,14.55,11.154,电子-其他电子-其他电子Ⅲ,"超清视频,MiniLED,元宇宙,物联网,元器件,虚拟现实,集成电路,无线耳机,节能照明,汽车电子","小米,比亚迪,华为,智慧城市,智慧灯杆","送转填权,创业板重组松绑"
688306.SH,均普智能,18.26,6.76,10.638,机械设备-自动化设备-其他自动化设备,"汽车热管理,新能源汽车,智能制造,医疗器械,机器人,汽车电子","工业4.0,新冠检测","新股与次新股,人民币贬值受益,融资融券,转融券标的,科创次新股"
300125.SZ,聆达股份,72.01,27.30,10.616,电力设备-电力设备-光伏设备,"TOPCON电池,太阳能,光伏,绿色建筑,新能源,节能环保,烟草,新型烟草,工业大麻",,
300041.SZ,回天新材,72.32,21.00,10.526,基础化工-化学制品-有机硅,"锂电池,高铁,轨道交通,光伏,大飞机,有机硅","比亚迪,军工,宁德时代,华为汽车,华为,国产替代",创投
300119.SZ,瑞普生物,57.68,18.19,10.376,农林牧渔-农业服务-动物保健,"动物疫苗,生物疫苗,饲料,兽药","猪瘟疫情,霍乱,西尼罗病毒,宠物经济,禽流感","深股通,参股新三板"
002471.SZ,中超控股,35.71,2.82,10.156,电力设备-电力设备-线缆部件及其他,"航空航天,柔性直流输电,石墨烯,医美,光伏,电缆,智能电网,航空发动机,高端装备,特高压",军工,"创投,参股新三板"
002688.SZ,金河生物,37.54,4.90,10.112,农林牧渔-农业服务-动物保健,"动物疫苗,兽药,代糖,饲料,污水处理","禽流感,猪瘟疫情,宠物经济",
600509.SH,天富能源,66.55,5.78,10.095,公用事业-电力-火电,"页岩气,抗寒,生物质能,光伏,第三代半导体,抽水蓄能,新能源,天然气,绿色电力,碳化硅,超超临界发电,LNG加气站,甲醇","一带一路,地方国资改革","融资融券,转融券标的"
002512.SZ,达华智能,43.55,4.15,10.080,计算机-计算机设备-计算机设备Ⅲ,"移动支付,卫星导航,物联网,金融IC,NFC,电子标签,互联网金融,量子科技,富媒体","小米,一带一路,华为,国家科技大会,智慧城市","融资融券,转融券标的,标普道琼斯A股"
000936.SZ,华西股份,50.31,5.68,10.078,基础化工-化工合成材料-涤纶,"AI芯片,人工智能,金控平台,涤纶,5G,芯片","中概股回归,金改","富时罗素,参股银行,创投,融资融券,转融券标的,参股券商,标普道琼斯A股,富时罗素股"
001258.SZ,立新能源,20.16,8.64,10.064,公用事业-电力-新能源发电,"风电,绿色电力",地方国资改革,"核准制次新股,新股与次新股"
002406.SZ,远东传动,29.32,5.91,10.056,交运设备-汽车零部件-汽车零部件Ⅲ,新能源汽车,"军民融合,工业4.0,华为,军工",
002606.SZ,大连电瓷,45.6,11.17,10.049,电力设备-电力设备-线缆部件及其他,特高压,,
002861.SZ,瀛通通讯,12.69,11.72,10.047,电子-消费电子-消费电子零部件及组装,"无线充电,消费电子,无线耳机,智能穿戴","苹果,富士康,小米,华为",
688536.SH,思瑞浦,246.81,573.85,10.043,电子-半导体及元件-集成电路设计,"5G,芯片",华为,"融资融券,转融券标的,沪股通"
000530.SZ,冰山冷热,32.14,5.37,10.041,机械设备-通用设备-制冷空调设备,"物联网,新能源,冷链物流,自动售货机,边缘计算,体育产业,冰雪产业,疫苗存储,汽车热管理,地热能","统一大市场,冬奥会,碳中和","参股券商,独角兽"
603636.SH,南威软件,85.49,14.47,10.038,计算机-计算机应用-IT服务,"在线教育,网络安全,IPV6,电子政务,区块链,大数据,云计算","蚂蚁金服,军工,智慧政务,共享经济,电子身份证,华为,国产软件,数字中国,PPP,东数西算（算力）,阿里巴巴,疫情监测,智慧城市","融资融券,转融券标的"
002818.SZ,富森美,39.93,13.38,10.033,商贸零售-零售-商业物业经营,"智能家居,电子商务","新零售,军工,网红经济","富时罗素,富时罗素股,标普道琼斯A股"
603176.SH,汇通集团,9.6,8.23,10.027,建筑装饰-建筑装饰-基础建设,"基建工程,水利","PPP,新型城镇化,乡村振兴","核准制次新股,新股与次新股"
002530.SZ,金财互联,54.72,8.45,10.026,计算机-计算机应用-IT服务,"电子发票,跨境电商,互联网金融,区块链,大数据","阿里巴巴,华为,数字经济","深股通,富时罗素,富时罗素股,标普道琼斯A股"
002886.SZ,沃特股份,41.45,24.15,10.023,基础化工-化工合成材料-改性塑料,"碳基材料,石墨烯,光伏,新能源汽车,无人机,口罩,5G,5G主设备,新材料,3D打印,新型烟草","华为汽车,华为,特斯拉",
002338.SZ,奥普光电,60.33,25.14,10.022,国防军工-国防军工-军工电子,"碳纤维,医疗器械,机器视觉,传感器,芯片","军工,嫦娥,专精特新,中科院系,航天军工,央企国资改革",
